feature_condition_a,feature_condition_b,product_signature_a,product_signature_b,confidence,evidence_categories,supporting_block_pairs,supporting_entity_pairs,explanation
TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P2,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P2,MEDIUM,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:ELIF:11-12,,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P5,TankWar_P3|TankWar_P4,TankWar_P1|TankWar_P5,TankWar_P3|TankWar_P4,MEDIUM,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:26-27 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:28-29,,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P2,TankWar_P1,TankWar_P2,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset70:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:IF:24-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:30-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:IF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:16-18 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:15-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51:IF:23-24 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51:ELIF:25-27 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:29-31 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:32-33 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset71:IF:4-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset72:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset73:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset77:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset78:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset80:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:16-17 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:21-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:49-51 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:56-58,Maler <-> Maler | Maler$$USA_M1Abrams <-> Maler$$USA_M1Abrams | Maler$$einfrieren <-> Maler$$einfrieren | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Image <-> Tank$$Image | Tank$$Mars <-> Tank$$Mars | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$einfrieren <-> TankManager$$einfrieren,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P2|TankWar_P3,TankWar_P1,TankWar_P2|TankWar_P3,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44:IF:7-8 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44:ELIF:9-10 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46:ELIF:11-13,Tank$$einfrieren <-> Tank$$einfrieren | Tool$$einfrieren <-> Tool$$einfrieren,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P3,TankWar_P1,TankWar_P3,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:16-17 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset81:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:IF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:16-17 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:IF:24-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:27-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:IF:25-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:27-28 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:IF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:14-15 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:IF:9-11 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:12-13 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:12-14 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:15-16 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:11-12 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset65:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset72:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:IF:26-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:29-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset73:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset83:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset75:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset80:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:16-17 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:49-51 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:52-55,Maler <-> Maler | Maler$$Feuerkraft <-> Maler$$Feuerkraft | Maler$$einfrieren <-> Maler$$einfrieren | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Feuerkraft <-> Tank$$Feuerkraft | Tank$$Image <-> Tank$$Image | Tank$$Mars <-> Tank$$Mars | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Feuerkraft <-> TankManager$$Feuerkraft | TankManager$$einfrieren <-> TankManager$$einfrieren | Tool$$Feuerkraft <-> Tool$$Feuerkraft,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P4,TankWar_P1,TankWar_P4,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset84:IF:4-29 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:13-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:IF:25-26 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:29-30 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50:IF:8-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50:ELIF:11-12 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset53:IF:8-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset53:ELIF:11-12 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset57:IF:6-7 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset57:ELIF:8-9 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset62:IF:24-25 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset62:ELIF:26-27 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset67:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset73:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset68:IF:4-20 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset80:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset69:IF:4-59 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset72:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:16-17 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:18-20 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:49-51 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:59-62,Maler$$Energie <-> Maler$$Energie | Maler$$M_600 <-> Maler$$M_600 | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Energie <-> Tank$$Energie | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Energie <-> TankManager$$Energie | Tool$$Energie <-> Tool$$Energie,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P4|TankWar_P5,TankWar_P1,TankWar_P4|TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:29-31 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:34-36,Maler <-> Maler,candidate only; no excludes/XOR/feature-model inference
TankWar_P1,TankWar_P5,TankWar_P1,TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CALL_CONTEXT|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:14-15 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:16-17 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:27-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:29-30 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:12-13 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:14-15 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:27-28 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:29-30 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:IF:7-8 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:11-12 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset72:IF:4-25 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset76:IF:4-25 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset73:IF:4-23 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset79:IF:4-23 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset80:IF:4-31 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset82:IF:4-31 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:IF:11-12 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset8:ELIF:16-17 | C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:49-51 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:ELIF:63-66,Maler$$Feuerkraft <-> Maler$$Feuerkraft | Maler$$M_600 <-> Maler$$M_600 | Missile <-> Missile | Missile.Missile <-> Missile.Missile | Missile.malen <-> Missile.malen | Sprach <-> Sprach | Sprach.EXIT <-> Sprach.EXIT | Sprach.HELP <-> Sprach.HELP | Sprach.HNOTE <-> Sprach.HNOTE | Sprach.HelpItem <-> Sprach.HelpItem | Sprach.LEVEL <-> Sprach.LEVEL | Sprach.LIAN_WANG <-> Sprach.LIAN_WANG | Sprach.LOSE <-> Sprach.LOSE | Sprach.MAIN_MENU <-> Sprach.MAIN_MENU | Sprach.NOTE <-> Sprach.NOTE | Sprach.Name <-> Sprach.Name | Sprach.PAUSE <-> Sprach.PAUSE | Sprach.RESUME <-> Sprach.RESUME | Sprach.START <-> Sprach.START | Sprach.TANKA <-> Sprach.TANKA | Sprach.TANKB <-> Sprach.TANKB | Sprach.TANKC <-> Sprach.TANKC | Sprach.WIN <-> Sprach.WIN | Tank <-> Tank | Tank$$Feuerkraft <-> Tank$$Feuerkraft | Tank$$Image <-> Tank$$Image | Tank.Tank <-> Tank.Tank | Tank.tankFeindKI <-> Tank.tankFeindKI | TankManager <-> TankManager | TankManager$$Feuerkraft <-> TankManager$$Feuerkraft | Tool$$Feuerkraft <-> Tool$$Feuerkraft,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P2|TankWar_P3,TankWar_P4,TankWar_P1|TankWar_P2|TankWar_P3,TankWar_P4,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:11-12,Tool <-> Tool,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P2|TankWar_P3,TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3,TankWar_P5,HIGH,DISJOINT_SIGNATURE|LEXICAL_SIMILARITY|SAME_CONTEXT|SAME_ENTITY_SIGNATURE|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:IF:9-10 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:13-14,Tool <-> Tool,candidate only; no excludes/XOR/feature-model inference
TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P5,TankWar_P4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P5,TankWar_P4,HIGH,DISJOINT_SIGNATURE|SAME_CALL_CONTEXT|SAME_CONTEXT|SIBLING_BRANCH,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:IF:46-47 <-> C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset6:ELIF:48-49,,candidate only; no excludes/XOR/feature-model inference
