relation_id,source_block_id,target_block_id,source_entity_id,target_entity_id,target_text,relation_type,source_file,source_line,source_group_id,target_group_id,source_signature,target_signature,source_entity_role,target_entity_role,dependency_strength,domain_relevance,requires_relevance,exclusion_reason,resolution_status,observed_product_set
D694,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E1,E257,,EXTENDS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,12,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.900,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D695,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E10,E6,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,20,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D696,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E10,E7,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,20,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D697,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E10,E9,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,20,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D698,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E266,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,24,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D699,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E7,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,25,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D700,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E9,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,26,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D701,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E267,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,27,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D702,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E6,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,28,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D703,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E270,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,31,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
