block_id,group_id,signature,file,branch_type,start_line,end_line,entity_count,incoming_dependency_count,outgoing_dependency_count,high_relevance_dependency_count,medium_relevance_dependency_count,low_relevance_dependency_count,dominant_entity_roles,observed_product_set
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,IF,8,128,16,40,88,0,0,88,UNKNOWN:16,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:9-10,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,IF,9,10,0,0,0,0,0,0,,
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,IF,8,42,5,5,3,0,0,3,UNKNOWN:5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:11-12,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,IF,11,12,0,0,0,0,0,0,,
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,IF,8,132,36,69,63,0,0,63,DOMAIN_CORE:1|UNKNOWN:35,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12:IF:8-10,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12,IF,8,10,1,1,0,0,0,0,UNKNOWN:1,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,IF,8,358,4,135,106,0,0,106,UNKNOWN:4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:26-28,G10,TankWar_P1|TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,IF,26,28,1,0,0,0,0,0,UNKNOWN:1,TankWar_P1|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,ELIF,29,31,1,0,1,0,0,1,UNKNOWN:1,TankWar_P3
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,ELIF,32,33,1,0,1,0,0,1,UNKNOWN:1,TankWar_P2
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,IF,8,384,39,236,283,0,0,283,UNKNOWN:39,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:11-12,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,IF,11,12,0,0,0,0,0,0,,
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset15:IF:8-281,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset15,IF,8,281,28,196,166,0,0,166,UNKNOWN:28,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset16:IF:8-49,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset16,IF,8,49,6,14,11,0,0,11,DOMAIN_SUPPORT:2|UNKNOWN:4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset17:IF:8-36,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset17,IF,8,36,9,43,15,0,0,15,UNKNOWN:9,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:IF:8-35,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,IF,8,35,42,0,0,0,0,0,APPLICATION_ORCHESTRATION:2|UNKNOWN:40,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:IF:9-10,G7,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,IF,9,10,1,1,0,0,0,0,UNKNOWN:1,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:ELIF:11-12,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,ELIF,11,12,1,0,0,0,0,0,UNKNOWN:1,TankWar_P2
