block_id,group_id,signature,file,branch_type,start_line,end_line,nesting_depth
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,IF,8,128,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:9-10,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,IF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,IF,8,42,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:11-12,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,IF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,IF,8,132,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12:IF:8-10,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12,IF,8,10,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,IF,8,358,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:26-28,G10,TankWar_P1|TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,IF,26,28,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,ELIF,29,31,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13,ELIF,32,33,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,IF,8,384,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:11-12,G14,TankWar_P2|TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,IF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset15:IF:8-281,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset15,IF,8,281,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset16:IF:8-49,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset16,IF,8,49,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset17:IF:8-36,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset17,IF,8,36,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:IF:8-35,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,IF,8,35,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:IF:9-10,G7,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,IF,9,10,1
