entity_id,entity_type,simple_name,qualified_name,file,start_line,end_line,group_id,signature,observed_products
"E1","CLASS","Missile$$TankWar","Missile$$TankWar","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",12,128,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E2","FIELD","geschwindigkeit","Missile$$TankWar.geschwindigkeit","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E3","FIELD","xf_Koordinate","Missile$$TankWar.xf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E4","FIELD","yf_Koordinate","Missile$$TankWar.yf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E5","FIELD","currTime","Missile$$TankWar.currTime","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",14,14,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E6","FIELD","tankId","Missile$$TankWar.tankId","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",15,15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E7","FIELD","missileRichtung","Missile$$TankWar.missileRichtung","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",16,16,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E8","FIELD","vernichtungskraft","Missile$$TankWar.vernichtungskraft","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",17,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E9","FIELD","feindlich","Missile$$TankWar.feindlich","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",18,18,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E10","CONSTRUCTOR","Missile$$TankWar","Missile$$TankWar.Missile$$TankWar","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",19,21,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E11","METHOD","init","Missile$$TankWar.init","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",22,67,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E12","METHOD","malen","Missile$$TankWar.malen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",68,77,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E13","METHOD","koordinateAktualisieren","Missile$$TankWar.koordinateAktualisieren","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",78,101,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E14","METHOD","treffenErkennen","Missile$$TankWar.treffenErkennen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",102,121,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E15","METHOD","explodieren","Missile$$TankWar.explodieren","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",122,124,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E16","METHOD","remove","Missile$$TankWar.remove","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",125,127,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E17","CLASS","Tank$$Tools","Tank$$Tools","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",14,42,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E18","CONSTRUCTOR","Tank$$Tools","Tank$$Tools.Tank$$Tools","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",15,17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E19","METHOD","malen","Tank$$Tools.malen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",18,37,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E20","METHOD","toolKontroller","Tank$$Tools.toolKontroller","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",38,39,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E21","METHOD","toolBehandeln","Tank$$Tools.toolBehandeln","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",40,41,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"E22","CLASS","MapInfo","MapInfo","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",11,132,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
