entity_id,group_id,signature,entity_type,simple_name,qualified_name,file,start_line,end_line,block_id,observed_products,resolution_status
"E1","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CLASS","Missile$$TankWar","Missile$$TankWar","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",12,128,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E2","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","geschwindigkeit","Missile$$TankWar.geschwindigkeit","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E3","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","xf_Koordinate","Missile$$TankWar.xf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E4","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","yf_Koordinate","Missile$$TankWar.yf_Koordinate","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",13,13,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E5","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","currTime","Missile$$TankWar.currTime","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",14,14,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E6","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","tankId","Missile$$TankWar.tankId","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",15,15,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E7","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","missileRichtung","Missile$$TankWar.missileRichtung","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",16,16,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E8","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","vernichtungskraft","Missile$$TankWar.vernichtungskraft","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",17,17,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E9","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","feindlich","Missile$$TankWar.feindlich","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",18,18,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E10","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CONSTRUCTOR","Missile$$TankWar","Missile$$TankWar.Missile$$TankWar","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",19,21,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
