entity_id,qualified_name,entity_kind,entity_role,domain_score,variability_score,package_name,observed_product_set,classification_evidence
E1,Missile$$TankWar,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E10,Missile$$TankWar.Missile$$TankWar,CONSTRUCTOR,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E100,Tank$$TankWar.koordinateAktualisieren,METHOD,UNKNOWN,0.200,0.050,Tank$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E101,Tank$$TankWar.tankFeindKI,METHOD,UNKNOWN,0.200,0.050,Tank$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E102,Tank$$TankWar.beschaedigen,METHOD,UNKNOWN,0.200,0.050,Tank$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E103,Tank$$TankWar.explodieren,METHOD,UNKNOWN,0.200,0.050,Tank$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E104,Tank$$TankWar.toolBehandeln,METHOD,UNKNOWN,0.200,0.050,Tank$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E105,Menu,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E106,Menu.options,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E107,Menu.logoXK,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E108,Menu.logoYK,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E109,Menu.zeileAbstand,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E11,Missile$$TankWar.init,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E110,Menu.maler,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E111,Menu.logoimage,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E112,Menu.style,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E113,Menu.xStyle,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E114,Menu.yStyle,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E115,Menu.x_KoordinateImage,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E116,Menu.y_KoordinateImage,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E117,Menu.waehlbar,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E118,Menu.fontSize,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E119,Menu.font,FIELD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
