source_group_id,target_group_id,relation_type,dependency_category,edge_count,cross_file_edge_count
"G1","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",1,1
"G1","G4","EXTENDS","STRUCTURAL",5,5
"G1","G4","METHOD_CALL","IMPLEMENTATION",5,5
"G1","G7","EXTENDS","STRUCTURAL",2,2
"G12","G12","EXTENDS","STRUCTURAL",1,1
"G12","G12","FIELD_REFERENCE","IMPLEMENTATION",4,0
"G12","G13","EXTENDS","STRUCTURAL",2,2
"G12","G14","METHOD_CALL","IMPLEMENTATION",6,6
"G12","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",2,2
"G12","G4","METHOD_CALL","IMPLEMENTATION",1,1
"G13","G13","EXTENDS","STRUCTURAL",2,2
"G13","G13","FIELD_REFERENCE","IMPLEMENTATION",8,0
"G13","G4","EXTENDS","STRUCTURAL",4,4
"G13","G4","FIELD_REFERENCE","IMPLEMENTATION",2,2
"G13","G4","METHOD_CALL","IMPLEMENTATION",3,3
"G14","G14","FIELD_REFERENCE","IMPLEMENTATION",20,0
"G14","G14","METHOD_CALL","IMPLEMENTATION",12,12
"G14","G4","METHOD_CALL","IMPLEMENTATION",4,4
"G15","G4","EXTENDS","STRUCTURAL",1,1
"G16","G4","FIELD_REFERENCE","IMPLEMENTATION",8,8
"G16","G4","METHOD_CALL","IMPLEMENTATION",2,2
"G17","G13","EXTENDS","STRUCTURAL",2,2
"G17","G14","METHOD_CALL","IMPLEMENTATION",6,6
"G17","G17","EXTENDS","STRUCTURAL",1,1
"G17","G17","FIELD_REFERENCE","IMPLEMENTATION",4,0
"G17","G19","EXTENDS","STRUCTURAL",1,1
"G17","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",1,1
"G17","G4","FIELD_REFERENCE","IMPLEMENTATION",5,5
"G17","G4","METHOD_CALL","IMPLEMENTATION",1,1
"G17","G7","EXTENDS","STRUCTURAL",1,1
"G18","G7","EXTENDS","STRUCTURAL",1,1
"G19","G19","CONSTRUCTOR_CALL","IMPLEMENTATION",2,2
"G19","G19","EXTENDS","STRUCTURAL",2,2
"G19","G19","FIELD_REFERENCE","IMPLEMENTATION",63,3
"G19","G19","METHOD_CALL","IMPLEMENTATION",9,0
"G19","G4","EXTENDS","STRUCTURAL",2,2
"G19","G4","FIELD_REFERENCE","IMPLEMENTATION",5,5
"G19","G4","METHOD_CALL","IMPLEMENTATION",8,8
"G2","G4","METHOD_CALL","IMPLEMENTATION",1,1
"G20","G14","METHOD_CALL","IMPLEMENTATION",6,6
"G20","G20","FIELD_REFERENCE","IMPLEMENTATION",4,0
"G20","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",2,2
"G20","G4","EXTENDS","STRUCTURAL",2,2
"G20","G4","FIELD_REFERENCE","IMPLEMENTATION",5,5
"G20","G4","METHOD_CALL","IMPLEMENTATION",2,2
"G21","G4","EXTENDS","STRUCTURAL",2,2
"G21","G7","EXTENDS","STRUCTURAL",1,1
"G22","G19","EXTENDS","STRUCTURAL",1,1
"G22","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",1,1
"G22","G4","EXTENDS","STRUCTURAL",2,2
"G22","G4","METHOD_CALL","IMPLEMENTATION",5,5
"G22","G7","EXTENDS","STRUCTURAL",1,1
"G3","G3","FIELD_REFERENCE","IMPLEMENTATION",14,0
"G3","G4","FIELD_REFERENCE","IMPLEMENTATION",16,16
"G3","G4","METHOD_CALL","IMPLEMENTATION",6,6
"G4","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",28,28
"G4","G4","EXTENDS","STRUCTURAL",8,8
"G4","G4","FIELD_REFERENCE","IMPLEMENTATION",1018,168
"G4","G4","METHOD_CALL","IMPLEMENTATION",262,99
"G4","G7","FIELD_REFERENCE","IMPLEMENTATION",4,4
"G5","G4","METHOD_CALL","IMPLEMENTATION",1,1
"G7","G4","CONSTRUCTOR_CALL","IMPLEMENTATION",2,2
"G7","G4","FIELD_REFERENCE","IMPLEMENTATION",2,2
"G7","G4","METHOD_CALL","IMPLEMENTATION",6,6
"G7","G7","CONSTRUCTOR_CALL","IMPLEMENTATION",1,1
"G7","G7","EXTENDS","STRUCTURAL",1,1
"G7","G7","FIELD_REFERENCE","IMPLEMENTATION",54,2
"G7","G7","METHOD_CALL","IMPLEMENTATION",8,8
"G8","G4","FIELD_REFERENCE","IMPLEMENTATION",3,3
"G8","G4","METHOD_CALL","IMPLEMENTATION",2,2
"G8","G8","FIELD_REFERENCE","IMPLEMENTATION",8,0
"G9","G4","FIELD_REFERENCE","IMPLEMENTATION",3,3
"G9","G4","METHOD_CALL","IMPLEMENTATION",2,2
