candidate_id,source_block_id,target_block_id,source_product_set,target_product_set,product_set_relation,dependency_kinds,candidate_category,method_call_count,constructor_call_count,field_reference_count,extends_count,implements_count,distinct_source_entity_count,distinct_target_entity_count,distinct_source_block_count,distinct_target_block_count,distinct_file_count,referenced_entities,merged_dependency_count,structural_strength,domain_relevance,product_set_support,direction_support,same_feature_possibility,shared_support_possibility,common_context_possibility,resolution_confidence,interpretation_categories,requires_relevance,relevance_reasons,caution_reasons,exclusion_reasons,target_presence_scope,target_entity_count,referenced_target_entity_count,target_scope_coarseness,target_scope_quality,referenced_target_entities,referenced_target_methods,referenced_target_fields,target_declaration_ranges,primary_target_entity,primary_target_operation,primary_target_declaration,primary_target_presence_scope,primary_target_feature_specificity,primary_selection_reason,primary_evidence_relation_id,primary_evidence_source_entity,primary_evidence_source_entity_type,primary_evidence_target_entity_type,primary_evidence_dependency_kind,primary_evidence_source_file,primary_evidence_source_line,alternative_target_entities,common_target_entities,feature_specific_target_entities,evidence_snippets
RC-0001,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,METHOD_CALL,REJECTED_TRIVIAL_OR_INVALID,1,0,0,0,0,1,1,1,1,1,Tank$$Tools.toolKontroller,1,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,5,1,5.000,COARSE_TARGET_SCOPE,Tank$$Tools.toolKontroller,Tank$$Tools.toolKontroller,,Tank$$Tools.toolKontroller@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:38-39,Tank$$Tools.toolKontroller,Tank$$Tools.toolKontroller,Tank$$Tools.toolKontroller@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:38-39,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|RUNTIME_OR_STRUCTURAL_USE|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D2,Tank$$Tools.malen,METHOD,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,21,,Tank$$Tools.toolKontroller,,METHOD_CALL source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:21 `toolKontroller();` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:38 `protected void toolKontroller() {`
RC-0002,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,EXTENDS,REJECTED_TRIVIAL_OR_INVALID,0,0,0,1,0,1,1,1,1,1,Tank$$TankWar,1,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL|STRUCTURAL_EXTENDS,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,39,1,39.000,COARSE_TARGET_SCOPE,Tank$$TankWar,,,Tank$$TankWar@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:14-384,Tank$$TankWar,,Tank$$TankWar@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:14-384,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|NO_RUNTIME_NECESSITY|RESOLVED_INTERNAL,D1,Tank$$Tools,CLASS,CLASS,EXTENDS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,14,,Tank$$TankWar,,EXTENDS source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:14 `abstract class Tank$$Tools extends Tank$$TankWar {` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:14 `abstract class Tank$$TankWar extends GameObject {`
RC-0003,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,METHOD_CALL,REJECTED_TRIVIAL_OR_INVALID,1,0,0,0,0,1,1,1,1,1,Tank$$TankWar.feuern,1,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,39,1,39.000,COARSE_TARGET_SCOPE,Tank$$TankWar.feuern,Tank$$TankWar.feuern,,Tank$$TankWar.feuern@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:230-235,Tank$$TankWar.feuern,Tank$$TankWar.feuern,Tank$$TankWar.feuern@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:230-235,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|RUNTIME_OR_STRUCTURAL_USE|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D3,Tank$$Tools.malen,METHOD,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,30,,Tank$$TankWar.feuern,,METHOD_CALL source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:30 `feuern();` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:230 `protected void feuern() {`
RC-0004,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,METHOD_CALL,REJECTED_TRIVIAL_OR_INVALID,1,0,0,0,0,1,1,1,1,1,MapInfo.readMap,1,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.readMap,MapInfo.readMap,,MapInfo.readMap@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:50-131,MapInfo.readMap,MapInfo.readMap,MapInfo.readMap@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:50-131,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|RUNTIME_OR_STRUCTURAL_USE|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D27,MapInfo.MapInfo,CONSTRUCTOR,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,48,,MapInfo.readMap,,METHOD_CALL source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:48 `this.readMap(x);` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:50 `private String readMap(String resource) {`
RC-0005,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,1,0,0,1,1,1,1,1,MapInfo.tankManager,1,LOW,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=LOW;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.tankManager,,MapInfo.tankManager,MapInfo.tankManager@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:18-18,MapInfo.tankManager,,MapInfo.tankManager@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:18-18,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D26,MapInfo.MapInfo,CONSTRUCTOR,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,46,,MapInfo.tankManager,,FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:46 `this.tankManager = tankM;` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:18 `TankManager tankManager;`
RC-0006,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,1,0,0,1,1,1,1,1,MapInfo.baseLocationX,1,LOW,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=LOW;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.baseLocationX,,MapInfo.baseLocationX,MapInfo.baseLocationX@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:23-23,MapInfo.baseLocationX,,MapInfo.baseLocationX@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:23-23,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D24,MapInfo.readMap,METHOD,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,126,,MapInfo.baseLocationX,,FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:126 `baseLocationX = ((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48;` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:23 `int baseLocationX;`
RC-0007,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,1,0,0,1,1,1,1,1,MapInfo.baseLocationY,1,LOW,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=LOW;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.baseLocationY,,MapInfo.baseLocationY,MapInfo.baseLocationY@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:24-24,MapInfo.baseLocationY,,MapInfo.baseLocationY@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:24-24,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D25,MapInfo.readMap,METHOD,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,127,,MapInfo.baseLocationY,,FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:127 `baseLocationY = ((int) toChar[i + 3] - 48) * 10 + (int) toChar[i + 4] - 48;` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:24 `int baseLocationY;`
RC-0008,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,1,0,0,1,1,1,1,1,MapInfo.brickWall,1,LOW,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=LOW;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=1,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.brickWall,,MapInfo.brickWall,MapInfo.brickWall@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:12-12,MapInfo.brickWall,,MapInfo.brickWall@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:12-12,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D38,MapInfo.readMap,METHOD,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,,MapInfo.brickWall,,"FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:82 `brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:12 `Vector brickWall = new Vector();`"
RC-0009,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,2,0,0,1,1,1,1,1,MapInfo.brickWallHeight,2,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=2,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.brickWallHeight,,MapInfo.brickWallHeight,MapInfo.brickWallHeight@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:28-28,MapInfo.brickWallHeight,,MapInfo.brickWallHeight@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:28-28,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D43,MapInfo.readMap,METHOD,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,,MapInfo.brickWallHeight,,"FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:81 `brickWallHeight = (((int) toChar[i + 7] - 48) * 10 + (int) toChar[i + 8] - 48);` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:28 `int brickWallHeight;` || FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:82 `brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:28 `int brickWallHeight;`"
RC-0010,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,FIELD_REFERENCE,REJECTED_TRIVIAL_OR_INVALID,0,0,2,0,0,1,1,1,1,1,MapInfo.brickWallLocationX,2,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,LOW,HIGH,CO_OCCURRING_FEATURES_PLAUSIBLE|INSUFFICIENT_EVIDENCE|INTRA_BLOCK|SAME_FEATURE_PLAUSIBLE|SHARED_DOMAIN_MODEL,LOW,structural=MEDIUM;domain=LOW;direction=MEDIUM;resolution=HIGH;rows=2,NO_FEATURE_SPECIFIC_TARGET; equal product sets are ambiguous; same-feature implementation remains plausible,INTRA_BLOCK,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,36,1,36.000,COARSE_TARGET_SCOPE,MapInfo.brickWallLocationX,,MapInfo.brickWallLocationX,MapInfo.brickWallLocationX@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:25-25,MapInfo.brickWallLocationX,,MapInfo.brickWallLocationX@C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:25-25,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,COMMON,TARGET_COMMON|DECLARED_IN_TARGET_FRAGMENT|DIRECTLY_REFERENCED_BY_SOURCE_BLOCK|COMPILE_TIME_NECESSITY|RUNTIME_NECESSITY|RESOLVED_INTERNAL,D40,MapInfo.readMap,METHOD,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,,MapInfo.brickWallLocationX,,"FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:78 `brickWallLocationX = (((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48);` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:25 `int brickWallLocationX;` || FIELD_REFERENCE source C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:82 `brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));` target C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:25 `int brickWallLocationX;`"
