evidence_id,candidate_id,source_file,source_line,source_entity,source_entity_type,source_block_id,source_asset_id,source_is_outermost,target_file,target_line,target_entity,target_entity_type,target_block_id,target_asset_id,target_is_outermost,dependency_kind,code_snippet,source_products,target_products
D2,RC-0001,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,21,Tank$$Tools.malen,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,asset10,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,38,Tank$$Tools.toolKontroller,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,asset10,true,METHOD_CALL,toolKontroller();,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D1,RC-0002,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,14,Tank$$Tools,CLASS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,asset10,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,14,Tank$$TankWar,CLASS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,asset14,true,EXTENDS,abstract class Tank$$Tools extends Tank$$TankWar {,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D3,RC-0003,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10,30,Tank$$Tools.malen,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,asset10,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14,230,Tank$$TankWar.feuern,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,asset14,true,METHOD_CALL,feuern();,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D27,RC-0004,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,48,MapInfo.MapInfo,CONSTRUCTOR,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,50,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,METHOD_CALL,this.readMap(x);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D26,RC-0005,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,46,MapInfo.MapInfo,CONSTRUCTOR,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,18,MapInfo.tankManager,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,this.tankManager = tankM;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D24,RC-0006,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,126,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,23,MapInfo.baseLocationX,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,baseLocationX = ((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D25,RC-0007,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,127,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,24,MapInfo.baseLocationY,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,baseLocationY = ((int) toChar[i + 3] - 48) * 10 + (int) toChar[i + 4] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D38,RC-0008,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,12,MapInfo.brickWall,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D36,RC-0009,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,81,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,28,MapInfo.brickWallHeight,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,brickWallHeight = (((int) toChar[i + 7] - 48) * 10 + (int) toChar[i + 8] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D43,RC-0009,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,82,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,28,MapInfo.brickWallHeight,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"brickWall.addElement(new Wall(tankManager, brickWallLocationX, brickWallLocationY, brickWallWidth, brickWallHeight, 31));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
