candidate_id,source_entity,source_entity_type,target_entity,target_entity_type,dependency_kind,source_block_id,target_block_id,source_asset_id,target_asset_id,same_asset,source_is_outermost,target_is_outermost,cross_asset,source_products,target_products,signature_relation,occurrence_count,distinct_source_line_count,cross_file,cross_class,eligible_for_requires,candidate_status,exclusion_reason,requires_manual_inspection,confidence,primary_evidence_id
RC-0001,Tank$$Tools.malen,METHOD,Tank$$Tools.toolKontroller,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,asset10,asset10,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D2
RC-0002,Tank$$Tools,CLASS,Tank$$TankWar,CLASS,EXTENDS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,asset10,asset14,false,true,true,true,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,true,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D1
RC-0003,Tank$$Tools.malen,METHOD,Tank$$TankWar.feuern,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10:IF:8-42,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset14:IF:8-384,asset10,asset14,false,true,true,true,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,true,true,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D3
RC-0004,MapInfo.MapInfo,CONSTRUCTOR,MapInfo.readMap,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D27
RC-0005,MapInfo.MapInfo,CONSTRUCTOR,MapInfo.tankManager,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D26
RC-0006,MapInfo.readMap,METHOD,MapInfo.baseLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D24
RC-0007,MapInfo.readMap,METHOD,MapInfo.baseLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D25
RC-0008,MapInfo.readMap,METHOD,MapInfo.brickWall,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D38
RC-0009,MapInfo.readMap,METHOD,MapInfo.brickWallHeight,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D36
RC-0010,MapInfo.readMap,METHOD,MapInfo.brickWallLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D33
