relation_id,relation_type,source_entity_id,target_text,file,line,group_id,signature,resolution_status,failure_reason,observed_products
"R16","METHOD_CALL","E10","init","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",20,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R20","FIELD_REFERENCE","E11","tankManager","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",23,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R29","METHOD_CALL","E11","hashCode","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",27,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R82","METHOD_CALL","E11","currentTimeMillis","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",64,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R90","METHOD_CALL","E12","currentTimeMillis","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",69,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R93","FIELD_REFERENCE","E12","EXIT","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",71,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R94","FIELD_REFERENCE","E12","PAUSE","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",71,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R95","FIELD_REFERENCE","E12","status","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",71,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R97","FIELD_REFERENCE","E12","maler","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",75,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R99","FIELD_REFERENCE","E12","maler","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",76,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R126","METHOD_CALL","E13","removeElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",98,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R130","METHOD_CALL","E14","size","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",103,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R134","METHOD_CALL","E14","elementAt","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",104,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R135","METHOD_CALL","E14","stossenGegen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",104,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R142","METHOD_CALL","E14","beschaedigen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",105,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R143","METHOD_CALL","E14","elementAt","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",105,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R147","METHOD_CALL","E14","size","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",110,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R151","METHOD_CALL","E14","elementAt","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",111,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R152","METHOD_CALL","E14","stossenGegen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",111,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R156","METHOD_CALL","E14","elementAt","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",112,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R157","METHOD_CALL","E14","explodieren","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",112,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R161","METHOD_CALL","E14","stossenGegen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",117,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R164","METHOD_CALL","E14","stossenGegen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",119,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R167","METHOD_CALL","E15","removeElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",123,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R170","METHOD_CALL","E16","removeElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1",126,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R175","CONSTRUCTOR_CALL","E18","super","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",16,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R176","METHOD_CALL","E19","currentTimeMillis","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",19,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R178","FIELD_REFERENCE","E19","EXIT","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",22,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R179","FIELD_REFERENCE","E19","PAUSE","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",22,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R180","FIELD_REFERENCE","E19","status","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",22,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R182","METHOD_CALL","E19","koordinateAktualisieren","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",35,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
